Date,India,World
1/22/2020,0,555
1/23/2020,0,653
1/24/2020,0,941
1/25/2020,0,1434
1/26/2020,0,2118
1/27/2020,0,2927
1/28/2020,0,5578
1/29/2020,0,6166
1/30/2020,1,8234
1/31/2020,1,9927
2/1/2020,1,12038
2/2/2020,2,16787
2/3/2020,3,19881
2/4/2020,3,23892
2/5/2020,3,27635
2/6/2020,3,30817
2/7/2020,3,34391
2/8/2020,3,37120
2/9/2020,3,40150
2/10/2020,3,42762
2/11/2020,3,44802
2/12/2020,3,45221
2/13/2020,3,60368
2/14/2020,3,66885
2/15/2020,3,69030
2/16/2020,3,71224
2/17/2020,3,73258
2/18/2020,3,75136
2/19/2020,3,75639
2/20/2020,3,76197
2/21/2020,3,76823
2/22/2020,3,78579
2/23/2020,3,78965
2/24/2020,3,79568
2/25/2020,3,80413
2/26/2020,3,81395
2/27/2020,3,82754
2/28/2020,3,84120
2/29/2020,3,86011
3/1/2020,3,88369
3/2/2020,5,90306
3/3/2020,5,92840
3/4/2020,28,95120
3/5/2020,30,97882
3/6/2020,31,101784
3/7/2020,34,105821
3/8/2020,39,109795
3/9/2020,43,113561
3/10/2020,56,118592
3/11/2020,62,125865
3/12/2020,73,128343
3/13/2020,82,145193
3/14/2020,102,156094
3/15/2020,113,167446
3/16/2020,119,181527
3/17/2020,142,197142
3/18/2020,156,214910
3/19/2020,194,242708
3/20/2020,244,272166
3/21/2020,330,304524
